domain,merchant_name,merchant_category,country_code,region,readiness_score,protocol_score,data_score,accessibility_score,checkout_score
mercadolivre.com.br,Mercado Livre Brazil,marketplace,BR,latam,34,0,35,100,33
block.xyz,Block (Square),fintech,US,north_america,34,0,35,100,33
alternate.de,Alternate,retail,DE,europe,34,0,40,100,28
checkout.com,Checkout.com,fintech,GB,europe,34,0,35,100,33
mercadolibre.com.br,Mercado Livre Brasil,marketplace,BR,latam,34,0,35,100,33
joybird.com,Joybird,retail,US,north_america,34,0,35,100,33
kayak.com.br,Kayak BR,travel,BR,latam,33,0,35,100,27
contentful.com,Contentful,saas,DE,europe,33,0,35,100,25
snyk.io,Snyk,saas,GB,europe,33,0,35,100,25
mobly.com.br,Mobly,retail,BR,latam,33,0,35,100,30
mercury.com,Mercury,fintech,US,north_america,33,0,35,100,30
braintreepayments.com,Braintree,fintech,US,north_america,33,0,35,100,25
ovhcloud.com,OVHcloud,saas,FR,europe,33,0,35,100,25
bonprix.de,Bonprix,retail,DE,europe,33,0,35,100,25
morele.net,Morele.net,retail,PL,europe,33,0,35,100,25
lunar.app,Lunar,fintech,DK,europe,33,0,35,100,30
infobae.com,Infobae,media,AR,latam,33,0,35,100,28
mercadolibre.cl,Mercado Libre Chile,marketplace,CL,latam,33,0,35,100,28
target.com,Target,retail,US,north_america,33,0,35,100,28
veriff.com,Veriff,saas,EE,europe,33,0,35,100,28
skyscanner.net,Skyscanner,travel,GB,europe,33,0,35,100,28
discovery.co.za,Discovery,healthcare,ZA,africa,33,0,35,100,25
vinted.com,Vinted,marketplace,LT,europe,33,0,35,75,63
showmax.com,Showmax,media,ZA,africa,33,0,35,100,28
v0.dev,v0 by Vercel,saas,US,north_america,33,0,35,100,28
gorillas.io,Gorillas,retail,DE,europe,33,0,35,100,25
zeepay.com,Zeepay,fintech,GH,africa,33,0,35,100,30
paypal.com,PayPal,fintech,US,north_america,33,0,35,75,60
remitly.com,Remitly,fintech,US,north_america,33,0,35,100,25
skyscanner.com,Skyscanner,travel,GB,europe,33,0,35,100,28
underarmour.com,Under Armour,retail,US,north_america,33,0,35,100,25
alchemy.com,Alchemy,saas,US,north_america,33,0,35,100,25
johnlewis.com,John Lewis,retail,GB,europe,33,0,35,100,25
polygon.technology,Polygon,fintech,IN,apac,33,0,35,100,28
